"","FIPS","County","Less.Than.High.School","At.Least.High.School.Diploma","At.Least.Bachelor.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010.dollars","White.not.Latino.Population","African.American.Population","Native.American.Population","Asian.American.Population","Population.some.other.race.or.races","Latino.Population","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Gini.Coefficient","Child.Poverty.living.in.families.below.the.poverty.line","Management.professional.and.related.occupations","Service.occupations","Sales.and.office.occupations","Farming.fishing.and.forestry.occupations","Construction.extraction.maintenance.and.repair.occupations","Production.transportation.and.material.moving.occupations","State","White","Black","Hispanic","Asian","Amerindian","Other","White_Asian","SIRE_homogeneity","median_age","lon","lat","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","CA","S","MAR","CFS","ACFS","MeanALC","MaxALC","Mixedness","elevation","annual_PRCP","winter_PRCP","summer_PRCP","spring_PRCP","autumn_PRCP","annual_TAVG","annual_TMAX","annual_TMIN","winter_TAVG","winter_TMAX","winter_TMIN","summer_TAVG","summer_TMAX","summer_TMIN","spring_TAVG","spring_TMAX","spring_TMIN","autumn_TAVG","autumn_TMAX","autumn_TMIN","nearest_county","temp","precip","temp_bins","lat_bins","lon_bins","precip_bins","elevation_bins"
"1001","1001","Autauga County, Alabama",14.7,85.3,21.7,7.1,78.8,30043.21365,77.55,17.7,0.4,0.75,1.35,2.2,21.15,8.75,52077.5,42.3,10.45,0.405,14,29.4,16.35,28.9,0.5,11.2,13.55,"Alabama",77.55,17.7,2.2,0.75,0.4,1.35,78.3,0.63346775,36.2,-86.6444901,32.5363818,5.1,3.6,0.09,39,0.301,0.217,0.305,0.118,446.9,181.1,0.139,0.065,302.91,3.57,69.6,9,-0.068757258251003,-0.104695712347955,0.534234394395299,2.44389044733451e-05,2.44389044733451e-05,3.55807678874591e-05,0.000252196733088628,-0.691500892644007,,,,,,,,,,,,,,,,,,,,,,,,,,"(31.7,33.8]","(-87.2,-84.5]",,
"1003","1003","Baldwin County, Alabama",12.4,87.6,26.8,8.7,74.95,26630.565395,84.3,9.55,0.6,0.65,1.25,3.65,20.9,5.2,177131,43,12.05,0.439,19.1,31.1,17.4,27.4,0.85,12.35,10.9,"Alabama",84.3,9.55,3.65,0.65,0.6,1.25,84.95,0.721336,41,-87.7460666,30.6592183,3.3,3.8,0.09,46.4,0.279,0.206,0.266,0.118,301.5,188.1,0.166,0.068,213.3,4.18,76.2,6.4,-0.314480368760566,0.0732203880057414,0.402143865524646,9.15186648425825e-06,9.15186648425825e-06,3.15229383738789e-05,0.000145054930996924,-0.947753892613278,41.925,,,,,,663.5,770.25,557.5,513,623.5,402.75,803.5,897,710,657.75,770.25,545.25,677.75,787.5,568.25,"1003",19.0833333333333,,"(18.5,25.2]","[19.6,31.7]","(-90.4,-87.2]",,"(38.9,105]"
"1005","1005","Barbour County, Alabama",28.1,71.9,13.5,6,67.85,20663.4527,47.4,46.5,0.35,0.25,0.9,4.7,37.15,21.3,28560,32.5,24.85,0.464,34.15,26.15,14.9,20.1,2.05,8.95,27.9,"Alabama",47.4,46.5,4.7,0.25,0.35,0.9,47.65,0.4432095,38,-85.4054562,31.8706701,4.8,4.3,0.12,73.8,0.559,0.251,0.373,0.142,873.9,388.1,0.189,0.112,154.33,5.13,52.7,12.8,-2.04816834208137,-2.00416471679688,0.747505657046212,-0.000115272649732157,0.000115272649732157,0.000307286775569061,0.000971287030928747,0.650873935617022,173.4,,,,,,632,764,501,470,601,339,783,903,663,627,768,485,646,779,512,"1005",17.3333333333333,,"(16.6,18.5]","(31.7,33.8]","(-87.2,-84.5]",,"(167,216]"
"1007","1007","Bibb County, Alabama",25.5,74.5,10,2.6,67.3,26875.00381,75.2,22.5,0.2,0.15,0.6,1.35,21.55,12.4,22189.5,20.9,12.25,0.411,17.9,20.25,13.55,22.65,0.6,18.05,25,"Alabama",75.2,22.5,1.35,0.15,0.2,0.6,75.35,0.6163535,38.3,-87.1271475,33.0158929,4.7,5.1,0.13,49.3,0.393,0.259,0.343,0.111,465.6,106.7,0.16,0.076,254.24,7.65,98.1,11.2,-1.88912274432152,-1.03104850585854,0.895458556197301,2.2586135304703e-05,2.2586135304703e-05,0.000140349891955138,0.000412803961279351,0.00264587671419965,144.8,5757.5,1625.5,1375.5,1427,1329.5,,,,,,,,,,,,,,,,"1007",,1462.405,,"(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(105,167]"
"1009","1009","Blount County, Alabama",25.3,74.7,12.5,4.2,72.5,27774.180315,89.15,1.05,0.6,0.3,1.2,7.7,16.95,10.8,57063,29,12.2,0.422,15.8,24.1,16.15,24.8,1.2,15.85,17.9,"Alabama",89.15,1.05,7.7,0.3,0.6,1.2,89.45,0.8010005,38.3,-86.5672464,33.9774479,5.9,3.9,0.08,47.6,0.253,0.213,0.304,0.14,175.1,92.8,0.181,0.062,164.46,4.08,89.3,6.6,-1.09282264443851,-0.401257928456871,0.720653053230315,6.23046883625467e-05,6.23046883625467e-05,6.30892188268684e-05,0.000385098984578613,-0.199355869671927,246,5583,1545.5,1348,1446,1243.5,,,,,,,,,,,,,,,,"1009",,1418.082,,"(33.8,35.6]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(216,259]"
"1011","1011","Bullock County, Alabama",25.3,74.7,12,3.7,69.55,20651.69397,22.05,72.45,0.15,0.25,0.35,4.7,54.35,24.25,10915.5,51.6,28.8,0.533,50.85,19.05,15.45,23.55,5.15,7.75,29.05,"Alabama",22.05,72.45,4.7,0.25,0.15,0.35,22.3,0.57575025,38.7,-85.7172613,32.1017589,4.2,,0.14,85.1,0.654,0.378,0.421,0.175,1403.9,409.1,0.157,0.134,333.96,,102.5,,-3.58238662456415,-3.12146843122767,1.08949800738606,-0.000438283422285413,0.000438283422285413,0.000739229106207528,0.0019461618787906,3.68054518942997,142.95,5359.5,1377.5,1414,1420,1148,,,,,,,,,,,,,,,,"1011",,1361.313,,"(31.7,33.8]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(105,167]"
"1013","1013","Butler County, Alabama",25.2,74.8,11,3.2,74.35,22321.77111,55.4,42.25,0.25,0.7,0.8,0.65,34.2,21.25,20568,34,23.5,0.463,30.65,21.5,16.85,26.55,2.1,9.6,23.45,"Alabama",55.4,42.25,0.65,0.7,0.25,0.8,56.1,0.48558375,39.7,-86.6819689,31.751667,3.9,3.5,0.1,61.5,0.494,0.305,0.383,0.16,639.2,219.8,0.164,0.109,452.92,9.58,70.8,10.8,-2.06746854012827,-1.77150224201797,0.641033618810091,-9.43328059098691e-05,9.43328059098691e-05,0.000220520234747978,0.000660422025065166,0.212881453238994,104.2,5736,1479,1555,1401,1301,635,756,513,473,595,352,784,896,672,629,760,499,649,771,527,"1013",17.5,1456.944,"(16.6,18.5]","(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(38.9,105]"
"1015","1015","Calhoun County, Alabama",21.5,78.5,16.1,6.4,74.65,24610.496825,74.65,19.9,0.45,0.75,1.4,2.85,30.4,11.1,115770.5,37.7,18.5,0.453,25.8,28.3,15.75,23.55,0.45,11.65,20.3,"Alabama",74.65,19.9,2.85,0.75,0.45,1.4,75.4,0.597948,38.1,-85.8225133,33.7717061,5.2,5.1,0.09,50.7,0.388,0.244,0.332,0.139,663,185.4,0.169,0.076,553.33,11.31,78.4,8,-0.535635325322755,-1.07939550958562,0.546792587720829,-1.47895220747873e-05,1.47895220747873e-05,6.21074450160555e-05,0.000183564419147297,-0.663589713006966,183.2,5071.5,1396,1224.5,1353.5,1097.5,,,,,,,,,,,,,,,,"1015",,1288.161,,"(33.8,35.6]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
"1017","1017","Chambers County, Alabama",28.2,71.8,10.8,3.7,73.85,23437.680315,58.95,37.95,0.2,0.35,1.05,1.45,31.85,14.5,34459.5,63.2,18.15,0.425,26.1,22.4,14.35,26.15,0.4,12.55,24.15,"Alabama",58.95,37.95,1.45,0.35,0.2,1.05,59.3,0.49186725,40.1,-85.3918121,32.9179433,5,4.3,0.12,62.6,0.516,0.241,0.354,0.15,766.1,318.2,0.179,0.093,575.7,8.21,77.5,6.7,-2.26875537986758,-1.43784694016471,0.794081820794569,-3.68121623461892e-05,3.68121623461892e-05,0.000182338327012031,0.000522899755536946,0.0373685257202047,200.45,5231.5,1451,1310.5,1348,1122,616,736.5,495.5,446,565.5,326.5,778,887,669,609.5,741,478.5,626,748,504,"1017",16.4444444444444,1328.801,"(14.9,16.6]","(31.7,33.8]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
"1019","1019","Cherokee County, Alabama",26.6,73.4,10.5,4.2,68.8,26915.90349,92,5.1,0.55,0.15,1,1.2,20.7,10.45,25208,24.2,16.1,0.439,24.2,24.6,15.55,20.25,1.4,13.25,25,"Alabama",92,5.1,1.2,0.15,0.55,1,92.15,0.8492775,43.9,-85.6542417,34.0695153,6.1,5.2,0.09,52.2,0.258,0.244,0.314,0.136,268.6,119.8,0.172,0.071,335.88,,80.9,,-1.44594830766189,-0.78557900435343,0.752514070700804,3.57426199260047e-05,3.57426199260047e-05,5.83120600733767e-05,0.000178411714390203,-0.301576558108968,181.35,5203.5,1470,1260.5,1325,1148,,,,,,,,,,,,,,,,"1019",,1321.689,,"(33.8,35.6]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
