fips,name_16,votes,reporting,precincts,votes16_trumpd,votes16_clintonh,votes16_johnsong,votes16_steinj,votes16_castled,votes16_de_la_fuenter,est_votes_remaining,votes16_mcmulline,votes16_hedgesj,votes16_kahnl,votes16_la_rivag,votes16_hoeflingt,votes16_kenistonc,votes16_smithm,votes16_atwoodf,votes16_kennedya,votes16_kopitkek,votes16_kotlikoffl,votes16_lyttleb,votes16_maldonadoj,votes16_maturenm,votes16_scottr,votes16_silvar,votes16_soltysike,votes16_vacekd,votes16_copelands,votes16_jacobp,votes16_whitej,votes16_mooreheadm,votes16_none_of_these_candidates,votes16_duncanr,votes16_skewesp,votes16_giordanir,total16,rep16_frac,dem16_frac,green16_frac,libert16_frac,other16_frac,rep16_frac2,dem16_frac2,name_prev,ST,statecode_prev,dem08,dem12,rep08,rep12,total08,total12,X,Y,other08,other12,rep12_frac,rep08_frac,dem12_frac,dem08_frac,other12_frac,other08_frac,rep12_frac2,rep08_frac2,dem12_frac2,dem08_frac2,X1,County,Less.Than.High.School,At.Least.High.School.Diploma,At.Least.Bachelor.s.Degree,Graduate.Degree,School.Enrollment,Median.Earnings.2010.dollars,White.not.Latino.Population,African.American.Population,Native.American.Population,Asian.American.Population,Population.some.other.race.or.races,Latino.Population,Children.Under.6.Living.in.Poverty,Adults.65.and.Older.Living.in.Poverty,Total.Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,State,White,Black,Hispanic,Asian,Amerindian,Other,White_Asian,SIRE_homogeneity,median_age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,CA,S,MAR,CFS,ACFS,MeanALC,MaxALC,Mixedness,elevation,annual_PRCP,winter_PRCP,summer_PRCP,spring_PRCP,autumn_PRCP,annual_TAVG,annual_TMAX,annual_TMIN,winter_TAVG,winter_TMAX,winter_TMIN,summer_TAVG,summer_TMAX,summer_TMIN,spring_TAVG,spring_TMAX,spring_TMIN,autumn_TAVG,autumn_TMAX,autumn_TMIN,nearest_county,temp,precip,temp_bins,lat_bins,lon_bins,precip_bins,elevation_bins
2000,Alaska,246588,440,442,130415,93007,14593,4445,3156,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,246588.0,0.5288781287005044,0.3771756938699369,0.01802601910879686,0.05917968433175986,0.05917968433175986,0.5837160172230129,0.416283982776987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Pickens,9494,35,35,5454,3972,49,19,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9494.0,0.574468085106383,0.4183694965241205,0.002001263956182852,0.005161154413313672,0.005161154413313672,0.5786123488224061,0.4213876511775939,Pickens,AL,01,4594,4455,5434,5124,10067,9621,733065.4254079516,-441416.124506994,39,42,0.5325849703772997,0.53978345087911,0.4630495790458372,0.4563425052150591,0.004365450576863112,0.0038740439058309326,0.5349201378014407,0.5418827283605904,0.46507986219855935,0.45811727163940963,1107,"Pickens County, Alabama",21.3,78.7,11.5,3.4,74.15,23145.62381,55.9,41.95,0.1,0.1,0.65,1.3,37.25,22.15,19637.0,50.7,26.55,0.453,36.1,20.25,15.25,25.8,1.3,12.1,25.3,Alabama,55.9,41.95,1.3,0.1,0.1,0.65,56.0,0.4886745,40.7,-88.096878,33.2968085,5.2,3.3,0.12,41.3,0.487,0.181,0.385,0.157,837.3,174.5,0.176,0.09,236.9,,75.3,,-1.44980531950347,-1.74388208399294,0.866389029012395,-3.73418533007319e-5,3.73418533007319e-5,2.53511210217574e-4,5.40242245634703e-4,0.294093409757561,60.7333333333333,5534.33333333333,1582.33333333333,1296.66666666667,1432.0,1223.33333333333,,,,,,,,,,,,,,,,1107,,1405.72066666667,,"(31.7,33.8]","(-90.4,-87.2]","(1.39e+03,4.3e+03]","(38.9,105]"
1007,Bibb,8748,10,10,6733,1874,124,17,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8748.0,0.7696616369455875,0.21422039323273892,0.0019433013260173753,0.01417466849565615,0.01417466849565615,0.7822702451492971,0.21772975485070292,Bibb,AL,01,2299,2202,6262,6132,8644,8420,825003.9651758065,-466189.222992092,83,86,0.7282660332541567,0.7244331328088848,0.261520190023753,0.2659648310967145,0.010213776722090262,0.00960203609440074,0.7357811375089993,0.7314566055367364,0.26421886249100074,0.26854339446326364,1007,"Bibb County, Alabama",25.5,74.5,10.0,2.6,67.3,26875.00381,75.2,22.5,0.2,0.15,0.6,1.35,21.55,12.4,22189.5,20.9,12.25,0.411,17.9,20.25,13.55,22.65,0.6,18.05,25.0,Alabama,75.2,22.5,1.35,0.15,0.2,0.6,75.35,0.6163535,38.3,-87.1271475,33.0158929,4.7,5.1,0.13,49.3,0.393,0.259,0.343,0.111,465.6,106.7,0.16,0.076,254.24,7.65,98.1,11.2,-1.88912274432152,-1.03104850585854,0.895458556197301,2.2586135304703e-5,2.2586135304703e-5,1.40349891955138e-4,4.12803961279351e-4,0.00264587671419965,144.8,5757.5,1625.5,1375.5,1427.0,1329.5,,,,,,,,,,,,,,,,1007,,1462.405,,"(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(105,167]"
1079,Lawrence,14623,31,31,10732,3611,249,31,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14623.0,0.7339123298912672,0.24693975244477878,0.0021199480270806263,0.01702796963687342,0.01702796963687342,0.7482395593669385,0.2517604406330614,Lawrence,AL,01,5164,5069,9277,8874,14680,14148,789904.2499727246,-298063.8945828136,239,205,0.6272264631043257,0.6319482288828338,0.35828385637545945,0.3517711171662125,0.01448968052021487,0.01628065395095368,0.6364483970451122,0.6424070355238557,0.36355160295488775,0.3575929644761443,1079,"Lawrence County, Alabama",24.8,75.2,10.7,3.3,72.0,26349.21397,77.2,11.75,5.1,0.15,4.05,1.7,16.95,11.65,34216.5,36.7,13.0,0.399,17.0,22.1,15.5,21.7,0.6,15.4,24.65,Alabama,77.2,11.75,1.7,0.15,5.1,4.05,77.35,0.61432275,40.2,-87.3218651,34.5297759,4.6,5.5,0.1,52.1,0.363,0.278,0.377,0.141,633.1,84.6,0.177,0.081,227.97,6.67,101.1,7.5,-0.703439355517507,-0.884465042109696,0.810416749745706,2.42573272964397e-5,2.42573272964397e-5,8.23297295731884e-5,3.16354001396513e-4,-0.229873373882193,182.45,,,,,,604.0,716.0,493.0,418.5,525.0,312.0,778.5,883.5,673.5,602.5,718.0,486.0,615.5,734.0,496.5,1079,15.7777777777778,,"(14.9,16.6]","(33.8,35.6]","(-90.4,-87.2]",,"(167,216]"
1115,St. Clair,37937,32,32,31579,5550,678,130,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,37937.0,0.8324063579091652,0.1462951735772465,0.003426733795503071,0.017871734718085248,0.017871734718085248,0.8505211559697272,0.14947884403027284,St. Clair,AL,01,6091,5801,27649,29031,34088,35235,885294.4257603501,-380901.7242517298,348,403,0.8239250744997871,0.811106547758742,0.16463743436923514,0.17868458108425253,0.011437491130977721,0.010208871157005398,0.8334577400091869,0.8194724362774155,0.16654225999081304,0.18052756372258447,1115,"St. Clair County, Alabama",20.7,79.3,14.5,4.7,73.2,28778.64603,87.6,8.65,0.35,0.5,1.15,1.8,14.5,9.8,80589.0,39.4,10.95,0.415,14.15,27.9,14.0,26.45,0.4,13.2,18.1,Alabama,87.6,8.65,1.8,0.5,0.35,1.15,88.1,0.77535175,38.2,-86.3156631,33.7129627,4.2,4.0,0.09,48.4,0.3,0.272,0.329,0.135,180.1,88.6,0.159,0.064,183.47,5.31,79.4,8.0,-0.853324367714177,-0.318728425114266,0.642029061070356,3.8611090827867e-5,3.8611090827867e-5,4.1272321848493e-5,2.19209629096606e-4,-0.468537440537163,193.9,5722.0,1493.0,1467.0,1433.0,1329.0,,,,,,,,,,,,,,,,1115,,1453.388,,"(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(167,216]"
1109,Pike,13025,35,35,7681,5039,257,48,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13025.0,0.5897120921305182,0.3868714011516315,0.0036852207293666026,0.019731285988483685,0.019731285988483685,0.6038522012578617,0.39614779874213835,Pike,AL,01,5879,6035,8004,7963,13955,14123,946041.9344543477,-588956.5223686384,72,125,0.5638320470155066,0.5735578645646722,0.4273171422502301,0.42128269437477606,0.008850810734263258,0.0051594410605517735,0.5688669809972853,0.5765324497586977,0.43113301900271467,0.42346755024130234,1109,"Pike County, Alabama",20.6,79.4,23.7,9.3,81.95,18791.54635,58.05,36.65,0.75,1.4,1.2,1.95,47.7,16.2,31517.5,43.3,28.85,0.514,37.35,26.45,20.25,24.5,1.15,9.75,17.95,Alabama,58.05,36.65,1.95,1.4,0.75,1.2,59.45,0.472079,31.7,-85.9419965,31.7987263,4.7,3.8,0.09,32.4,0.46,0.183,0.36,0.146,1029.9,338.4,0.203,0.07,410.17,6.76,73.4,10.0,-1.31247914012278,-1.50833104996339,0.936407299526801,1.40388221792076e-5,1.40388221792076e-5,2.47262296490316e-4,9.14646244036144e-4,0.254153976747445,142.2,,,,,,,,,,,,,,,,,,,,,1109,,,,"(31.7,33.8]","(-87.2,-84.5]",,"(105,167]"
1091,Marengo,10948,24,24,5224,5607,104,13,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10948.0,0.47716477895506026,0.5121483375959079,0.0011874314943368651,0.009499451954694921,0.009499451954694921,0.4823192687655803,0.5176807312344197,Marengo,AL,01,5926,6167,5516,5336,11471,11543,772270.1106910796,-553544.8393857868,29,40,0.46227150654076066,0.480864789469096,0.5342631898120073,0.5166070961555226,0.0034653036472320885,0.0025281143753813967,0.46387898809006345,0.48208355182660373,0.5361210119099366,0.5179164481733962,1091,"Marengo County, Alabama",20.3,79.7,17.9,5.6,76.6,21394.021585,46.0,52.15,0.1,0.15,0.6,1.05,33.9,17.55,21118.5,72.7,24.7,0.484,32.5,26.35,15.55,21.55,3.8,11.25,21.5,Alabama,46.0,52.15,1.05,0.15,0.1,0.6,46.15,0.48371175,40.1,-87.791091,32.2475911,4.8,4.5,0.12,49.1,0.458,0.168,0.416,0.174,724.9,128.4,0.177,0.094,449.4,6.67,68.5,10.5,-1.99046106465549,-1.59384236101126,0.86555636104925,-2.22134814687469e-5,2.22134814687469e-5,2.30403692770571e-4,0.00102738218932788,0.165335212227338,,,,,,,,,,,,,,,,,,,,,,,,,,"(31.7,33.8]","(-90.4,-87.2]",,
1069,Houston,42030,29,29,30567,10547,772,144,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,42030.0,0.727266238401142,0.250939804901261,0.003426124197002141,0.018367832500594813,0.018367832500594813,0.743469377827504,0.256530622172496,Houston,AL,01,12225,12367,29254,29270,41735,41984,1014504.6167822796,-651885.4908617398,256,347,0.6971703506097561,0.700946447825566,0.29456459603658536,0.292919611836588,0.008265053353658536,0.006133940337845933,0.7029805221317578,0.705272547554184,0.2970194778682422,0.29472745244581594,1069,"Houston County, Alabama",18.1,81.9,19.0,6.8,73.1,25514.17111,69.55,25.4,0.4,0.85,1.35,2.45,30.7,11.55,99319.0,40.7,16.4,0.466,24.9,30.25,16.15,27.55,0.6,11.15,14.3,Alabama,69.55,25.4,2.45,0.85,0.4,1.35,70.4,0.549107,38.0,-85.2963976,31.1581928,4.5,4.3,0.09,55.1,0.407,0.184,0.349,0.13,776.6,315.8,0.162,0.07,534.04,5.43,65.1,8.9,-1.05794889440643,-0.830295415522042,0.609473170146173,8.90993297952836e-6,8.90993297952836e-6,5.86207007421367e-5,2.9975030490581e-4,-0.61978312591325,83.8,5591.0,1475.0,1632.0,1343.0,1141.0,,,,,,,,,,,,,,,,1069,,1420.114,,"[19.6,31.7]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(38.9,105]"
1003,Baldwin,94090,48,48,72780,18409,2448,453,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,94090.0,0.773514719948985,0.19565309809756615,0.00481453927091083,0.026017642682537995,0.026017642682537995,0.7981225805744114,0.20187741942558862,Baldwin,AL,01,19386,18424,61271,66016,81413,85491,792535.4459425046,-732327.7926755555,756,1051,0.7721982430899159,0.7525947944431479,0.21550806517645132,0.23811921928930269,0.01229369173363278,0.00928598626754941,0.7818095689246802,0.7596488835438957,0.21819043107531974,0.24035111645610424,1003,"Baldwin County, Alabama",12.4,87.6,26.8,8.7,74.95,26630.565395,84.3,9.55,0.6,0.65,1.25,3.65,20.9,5.2,177131.0,43.0,12.05,0.439,19.1,31.1,17.4,27.4,0.85,12.35,10.9,Alabama,84.3,9.55,3.65,0.65,0.6,1.25,84.95,0.721336,41.0,-87.7460666,30.6592183,3.3,3.8,0.09,46.4,0.279,0.206,0.266,0.118,301.5,188.1,0.166,0.068,213.3,4.18,76.2,6.4,-0.314480368760566,0.0732203880057414,0.402143865524646,9.15186648425825e-6,9.15186648425825e-6,3.15229383738789e-5,1.45054930996924e-4,-0.947753892613278,41.925,,,,,,663.5,770.25,557.5,513.0,623.5,402.75,803.5,897.0,710.0,657.75,770.25,545.25,677.75,787.5,568.25,1003,19.0833333333333,,"(18.5,25.2]","[19.6,31.7]","(-90.4,-87.2]",,"(38.9,105]"
1021,Chilton,18255,20,20,15068,2909,226,52,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18255.0,0.8254176937825254,0.1593536017529444,0.0028485346480416323,0.012380169816488634,0.012380169816488634,0.838182121599822,0.161817878400178,Chilton,AL,01,3674,3397,13960,13932,17785,17485,864683.9873484356,-475362.23318402574,151,156,0.7967972547898199,0.7849311217317965,0.1942808121246783,0.20657857745290975,0.008921933085501859,0.008490300815293787,0.8039702233250621,0.7916524895089032,0.19602977667493796,0.20834751049109673,1021,"Chilton County, Alabama",24.1,75.9,12.2,4.8,69.25,26935.604125,82.15,10.0,0.3,0.2,1.1,6.25,27.15,11.95,42957.5,42.1,17.8,0.451,25.35,22.75,14.0,23.0,0.85,18.6,20.75,Alabama,82.15,10.0,6.25,0.2,0.3,1.1,82.35,0.6889025,37.2,-86.7266275,32.8540595,4.6,4.9,0.1,57.7,0.299,0.201,0.383,0.125,321.2,98.7,0.202,0.065,692.29,4.68,99.3,9.9,-0.93878094722944,-1.03992630766627,0.699720602422986,-2.87873147253315e-6,2.87873147253315e-6,9.63014654604017e-5,3.4992433438702e-4,-0.448200673242794,174.8,,,,,,,,,,,,,,,,,,,,,1021,,,,"(31.7,33.8]","(-87.2,-84.5]",,"(167,216]"
