fips,name,precincts,results.atwoodf,results.castled,results.clintonh,results.copelands,results.de_la_fuenter,results.duncanr,results.giordanir,results.hedgesj,results.hoeflingt,results.jacobp,results.johnsong,results.kahnl,results.kenistonc,results.kennedya,results.kopitkek,results.kotlikoffl,results.la_rivag,results.lyttleb,results.maldonadoj,results.maturenm,results.mcmulline,results.mooreheadm,results.none_of_these_candidates,results.scottr,results.silvar,results.skewesp,results.smithm,results.soltysike,results.steinj,results.trumpd,results.vacekd,results.whitej,votes,ST,STATEFP,dem08,dem12,rep08,rep12,tot08,tot12,X,Y,rep16_frac,dem16_frac,green16_frac,libert16_frac,rep12_frac,rep08_frac,dem12_frac,dem08_frac,X1,County,Less.Than.High.School,At.Least.High.School.Diploma,At.Least.Bachelor.s.Degree,Graduate.Degree,School.Enrollment,Median.Earnings.2010.dollars,White.not.Latino.Population,African.American.Population,Native.American.Population,Asian.American.Population,Population.some.other.race.or.races,Latino.Population,Children.Under.6.Living.in.Poverty,Adults.65.and.Older.Living.in.Poverty,Total.Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,State,White,Black,Hispanic,Asian,Amerindian,Other,White_Asian,SIRE_homogeneity,median_age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,CA,S,MAR,CFS,ACFS,MeanALC,MaxALC,Mixedness,elevation,annual_PRCP,winter_PRCP,summer_PRCP,spring_PRCP,autumn_PRCP,annual_TAVG,annual_TMAX,annual_TMIN,winter_TAVG,winter_TMAX,winter_TMIN,summer_TAVG,summer_TMAX,summer_TMIN,spring_TAVG,spring_TMAX,spring_TMIN,autumn_TAVG,autumn_TMAX,autumn_TMIN,nearest_county,temp,precip,temp_bins,lat_bins,lon_bins,precip_bins,elevation_bins
1001,Autauga,20,,,5908,,,,,,,,538,,,,,,,,,,,,,,,,,,105,18110,,,24661,AL,01,6093,6363,17403,17379,23641,23973,872698.1011187633,-511982.4709233545,0.7343578930294797,0.23956854953164916,0.004257734885041158,0.021815822553829935,0.7249405581278939,0.7361363732498625,0.2654236015517457,0.25773021445793326,1001,"Autauga County, Alabama",14.7,85.3,21.7,7.1,78.8,30043.21365,77.55,17.7,0.4,0.75,1.35,2.2,21.15,8.75,52077.5,42.3,10.45,0.405,14.0,29.4,16.35,28.9,0.5,11.2,13.55,Alabama,77.55,17.7,2.2,0.75,0.4,1.35,78.3,0.63346775,36.2,-86.6444901,32.5363818,5.1,3.6,0.09,39.0,0.301,0.217,0.305,0.118,446.9,181.1,0.139,0.065,302.91,3.57,69.6,9.0,-0.068757258251003,-0.104695712347955,0.534234394395299,2.44389044733451e-5,2.44389044733451e-5,3.55807678874591e-5,2.52196733088628e-4,-0.691500892644007,,,,,,,,,,,,,,,,,,,,,,,,,,"(31.7,33.8]","(-87.2,-84.5]",,
1003,Baldwin,48,,,18409,,,,,,,,2448,,,,,,,,,,,,,,,,,,453,72780,,,94090,AL,01,19386,18424,61271,66016,81413,85491,792535.4459425046,-732327.7926755555,0.773514719948985,0.19565309809756615,0.00481453927091083,0.026017642682537995,0.7721982430899159,0.7525947944431479,0.21550806517645132,0.23811921928930269,1003,"Baldwin County, Alabama",12.4,87.6,26.8,8.7,74.95,26630.565395,84.3,9.55,0.6,0.65,1.25,3.65,20.9,5.2,177131.0,43.0,12.05,0.439,19.1,31.1,17.4,27.4,0.85,12.35,10.9,Alabama,84.3,9.55,3.65,0.65,0.6,1.25,84.95,0.721336,41.0,-87.7460666,30.6592183,3.3,3.8,0.09,46.4,0.279,0.206,0.266,0.118,301.5,188.1,0.166,0.068,213.3,4.18,76.2,6.4,-0.314480368760566,0.0732203880057414,0.402143865524646,9.15186648425825e-6,9.15186648425825e-6,3.15229383738789e-5,1.45054930996924e-4,-0.947753892613278,41.925,,,,,,663.5,770.25,557.5,513.0,623.5,402.75,803.5,897.0,710.0,657.75,770.25,545.25,677.75,787.5,568.25,1003,19.0833333333333,,"(18.5,25.2]","[19.6,31.7]","(-90.4,-87.2]",,"(38.9,105]"
1005,Barbour,18,,,4848,,,,,,,,93,,,,,,,,,,,,,,,,,,18,5431,,,10390,AL,01,5697,5912,5866,5550,11630,11517,997589.7241732085,-574230.2953339128,0.5227141482194417,0.46660250240615975,0.0017324350336862368,0.008950914340712223,0.4818963271685335,0.5043852106620809,0.5133281236433099,0.48985382631126395,1005,"Barbour County, Alabama",28.1,71.9,13.5,6.0,67.85,20663.4527,47.4,46.5,0.35,0.25,0.9,4.7,37.15,21.3,28560.0,32.5,24.85,0.464,34.15,26.15,14.9,20.1,2.05,8.95,27.9,Alabama,47.4,46.5,4.7,0.25,0.35,0.9,47.65,0.4432095,38.0,-85.4054562,31.8706701,4.8,4.3,0.12,73.8,0.559,0.251,0.373,0.142,873.9,388.1,0.189,0.112,154.33,5.13,52.7,12.8,-2.04816834208137,-2.00416471679688,0.747505657046212,-1.15272649732157e-4,1.15272649732157e-4,3.07286775569061e-4,9.71287030928747e-4,0.650873935617022,173.4,,,,,,632.0,764.0,501.0,470.0,601.0,339.0,783.0,903.0,663.0,627.0,768.0,485.0,646.0,779.0,512.0,1005,17.3333333333333,,"(16.6,18.5]","(31.7,33.8]","(-87.2,-84.5]",,"(167,216]"
1007,Bibb,10,,,1874,,,,,,,,124,,,,,,,,,,,,,,,,,,17,6733,,,8748,AL,01,2299,2202,6262,6132,8644,8420,825003.9651758065,-466189.222992092,0.7696616369455875,0.21422039323273892,0.0019433013260173753,0.01417466849565615,0.7282660332541567,0.7244331328088848,0.261520190023753,0.2659648310967145,1007,"Bibb County, Alabama",25.5,74.5,10.0,2.6,67.3,26875.00381,75.2,22.5,0.2,0.15,0.6,1.35,21.55,12.4,22189.5,20.9,12.25,0.411,17.9,20.25,13.55,22.65,0.6,18.05,25.0,Alabama,75.2,22.5,1.35,0.15,0.2,0.6,75.35,0.6163535,38.3,-87.1271475,33.0158929,4.7,5.1,0.13,49.3,0.393,0.259,0.343,0.111,465.6,106.7,0.16,0.076,254.24,7.65,98.1,11.2,-1.88912274432152,-1.03104850585854,0.895458556197301,2.2586135304703e-5,2.2586135304703e-5,1.40349891955138e-4,4.12803961279351e-4,0.00264587671419965,144.8,5757.5,1625.5,1375.5,1427.0,1329.5,,,,,,,,,,,,,,,,1007,,1462.405,,"(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(105,167]"
1009,Blount,26,,,2150,,,,,,,,337,,,,,,,,,,,,,,,,,,89,22808,,,25384,AL,01,3522,2970,20389,20757,24267,24060,865655.548087643,-353394.9213436061,0.8985187519697447,0.08469902300661834,0.0035061456035297826,0.013276079420107154,0.862718204488778,0.8401945028227634,0.12344139650872818,0.14513536901965632,1009,"Blount County, Alabama",25.3,74.7,12.5,4.2,72.5,27774.180315,89.15,1.05,0.6,0.3,1.2,7.7,16.95,10.8,57063.0,29.0,12.2,0.422,15.8,24.1,16.15,24.8,1.2,15.85,17.9,Alabama,89.15,1.05,7.7,0.3,0.6,1.2,89.45,0.8010005,38.3,-86.5672464,33.9774479,5.9,3.9,0.08,47.6,0.253,0.213,0.304,0.14,175.1,92.8,0.181,0.062,164.46,4.08,89.3,6.6,-1.09282264443851,-0.401257928456871,0.720653053230315,6.23046883625467e-5,6.23046883625467e-5,6.30892188268684e-5,3.85098984578613e-4,-0.199355869671927,246.0,5583.0,1545.5,1348.0,1446.0,1243.5,,,,,,,,,,,,,,,,1009,,1418.082,,"(33.8,35.6]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(216,259]"
1011,Bullock,17,,,3530,,,,,,,,22,,,,,,,,,,,,,,,,,,10,1139,,,4701,AL,01,4011,4061,1391,1251,5415,5322,964621.8847883046,-551556.3013709625,0.24228887470750904,0.7509040629653265,0.0021272069772388853,0.004679855349925548,0.2350620067643743,0.25687903970452447,0.7630590003757985,0.7407202216066482,1011,"Bullock County, Alabama",25.3,74.7,12.0,3.7,69.55,20651.69397,22.05,72.45,0.15,0.25,0.35,4.7,54.35,24.25,10915.5,51.6,28.8,0.533,50.85,19.05,15.45,23.55,5.15,7.75,29.05,Alabama,22.05,72.45,4.7,0.25,0.15,0.35,22.3,0.57575025,38.7,-85.7172613,32.1017589,4.2,,0.14,85.1,0.654,0.378,0.421,0.175,1403.9,409.1,0.157,0.134,333.96,,102.5,,-3.58238662456415,-3.12146843122767,1.08949800738606,-4.38283422285413e-4,4.38283422285413e-4,7.39229106207528e-4,0.0019461618787906,3.68054518942997,142.95,5359.5,1377.5,1414.0,1420.0,1148.0,,,,,,,,,,,,,,,,1011,,1361.313,,"(31.7,33.8]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(105,167]"
1013,Butler,24,,,3716,,,,,,,,65,,,,,,,,,,,,,,,,,,13,4891,,,8685,AL,01,4188,4374,5485,5087,9709,9502,877309.981878802,-599207.2052588678,0.5631548647092689,0.4278641335636154,0.0014968336211859529,0.007484168105929764,0.5353609766364976,0.5649397466268411,0.46032414228583457,0.43135235348645584,1013,"Butler County, Alabama",25.2,74.8,11.0,3.2,74.35,22321.77111,55.4,42.25,0.25,0.7,0.8,0.65,34.2,21.25,20568.0,34.0,23.5,0.463,30.65,21.5,16.85,26.55,2.1,9.6,23.45,Alabama,55.4,42.25,0.65,0.7,0.25,0.8,56.1,0.48558375,39.7,-86.6819689,31.751667,3.9,3.5,0.1,61.5,0.494,0.305,0.383,0.16,639.2,219.8,0.164,0.109,452.92,9.58,70.8,10.8,-2.06746854012827,-1.77150224201797,0.641033618810091,-9.43328059098691e-5,9.43328059098691e-5,2.20520234747978e-4,6.60422025065166e-4,0.212881453238994,104.2,5736.0,1479.0,1555.0,1401.0,1301.0,635.0,756.0,513.0,473.0,595.0,352.0,784.0,896.0,672.0,629.0,760.0,499.0,649.0,771.0,527.0,1013,17.5,1456.944,"(16.6,18.5]","(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(38.9,105]"
1015,Calhoun,47,,,13197,,,,,,,,1114,,,,,,,,,,,,,,,,,,262,32803,,,47376,AL,01,16334,15511,32348,30278,49242,46364,933313.5107488714,-369480.011064288,0.6923969942586964,0.27855876393110435,0.005530226274907126,0.023514015535292133,0.6530497800017254,0.6569188903781324,0.3345483564834786,0.331708703951911,1015,"Calhoun County, Alabama",21.5,78.5,16.1,6.4,74.65,24610.496825,74.65,19.9,0.45,0.75,1.4,2.85,30.4,11.1,115770.5,37.7,18.5,0.453,25.8,28.3,15.75,23.55,0.45,11.65,20.3,Alabama,74.65,19.9,2.85,0.75,0.45,1.4,75.4,0.597948,38.1,-85.8225133,33.7717061,5.2,5.1,0.09,50.7,0.388,0.244,0.332,0.139,663.0,185.4,0.169,0.076,553.33,11.31,78.4,8.0,-0.535635325322755,-1.07939550958562,0.546792587720829,-1.47895220747873e-5,1.47895220747873e-5,6.21074450160555e-5,1.83564419147297e-4,-0.663589713006966,183.2,5071.5,1396.0,1224.5,1353.5,1097.5,,,,,,,,,,,,,,,,1015,,1288.161,,"(33.8,35.6]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
1017,Chambers,23,,,5763,,,,,,,,168,,,,,,,,,,,,,,,,,,44,7803,,,13778,AL,01,6799,6871,8067,7626,14956,14629,983720.7953188245,-458085.7615179742,0.56633763971548845,0.4182755116852954,0.0031934968790825954,0.012193351720133546,0.5212933214847221,0.5393821877507355,0.46968350536605374,0.4546001604707141,1017,"Chambers County, Alabama",28.2,71.8,10.8,3.7,73.85,23437.680315,58.95,37.95,0.2,0.35,1.05,1.45,31.85,14.5,34459.5,63.2,18.15,0.425,26.1,22.4,14.35,26.15,0.4,12.55,24.15,Alabama,58.95,37.95,1.45,0.35,0.2,1.05,59.3,0.49186725,40.1,-85.3918121,32.9179433,5.0,4.3,0.12,62.6,0.516,0.241,0.354,0.15,766.1,318.2,0.179,0.093,575.7,8.21,77.5,6.7,-2.26875537986758,-1.43784694016471,0.794081820794569,-3.68121623461892e-5,3.68121623461892e-5,1.82338327012031e-4,5.22899755536946e-4,0.0373685257202047,200.45,5231.5,1451.0,1310.5,1348.0,1122.0,616.0,736.5,495.5,446.0,565.5,326.5,778.0,887.0,669.0,609.5,741.0,478.5,626.0,748.0,504.0,1017,16.4444444444444,1328.801,"(14.9,16.6]","(31.7,33.8]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
1019,Cherokee,25,,,1524,,,,,,,,145,,,,,,,,,,,,,,,,,,25,8809,,,10503,AL,01,2306,2132,7298,7506,9745,9792,947711.7767594325,-320925.5906542546,0.8387127487384557,0.14510139960011426,0.0023802723031514806,0.013805579358278587,0.7665441176470589,0.748896870189841,0.21772875816993464,0.2366341713699333,1019,"Cherokee County, Alabama",26.6,73.4,10.5,4.2,68.8,26915.90349,92.0,5.1,0.55,0.15,1.0,1.2,20.7,10.45,25208.0,24.2,16.1,0.439,24.2,24.6,15.55,20.25,1.4,13.25,25.0,Alabama,92.0,5.1,1.2,0.15,0.55,1.0,92.15,0.8492775,43.9,-85.6542417,34.0695153,6.1,5.2,0.09,52.2,0.258,0.244,0.314,0.136,268.6,119.8,0.172,0.071,335.88,,80.9,,-1.44594830766189,-0.78557900435343,0.752514070700804,3.57426199260047e-5,3.57426199260047e-5,5.83120600733767e-5,1.78411714390203e-4,-0.301576558108968,181.35,5203.5,1470.0,1260.5,1325.0,1148.0,,,,,,,,,,,,,,,,1019,,1321.689,,"(33.8,35.6]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
